participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
AES11,1,aes,uk,right,normal,40,22,yes,undergrad,male,right,12,18,French,12,"E., M., H., U.",no,english,"english, french","english, spanish, french",40,60,no,no,no,"dance, clarinet, saxophone","dance 7, ins 10",no,no,na,11,53
AES12,2,aes,us,right,normal,53,26,yes,undergrad,male,right,11,19,no,16,"E., M., H., U.",U.,english,english,"english, spanish, turkish",50,50,taekwondo,5,no,no,no,no,yes,11 (no conduce),5,42
AES13,3,aes,uk,left,glasses,43,29,yes,master,female,right,12,19,French,72,"E., M., H., U.",U.,english,"english, french","english, spanish, french",50,50,no,no,no,no,no,no,no,no,9,49
AES14,4,aes,uk,right,contacts,48,29,yes,master,female,right,12,18,no,78,"E., M., H., U.",U.,english,"english, mandarin","english, spanish, mandarin, cantonese",80,20,no,no,no,"dance, piano, oboe","dn 17, ob 9, pn 11",yes,yes,11 (no conduce),11,53
AES15,1,aes,nz,right,normal,48,34,yes,undergrad,female,right,15,20,"French, Portuguese",28,"E., M., H., U.",U.,english,"english, maori","english, spanish, french, portuguese, italian",60,40,no,no,no,no,no,no,no,no,5,40
AES16,2,aes,uk,right,normal,43,28,yes,undergrad,female,right,11,19,French,89,"E., M., H., U.",U.,english,english,"english, spanish, french",65,30,ultimate frisbee,10,no,violin,5,no,no,no,12,54
AES17,3,aes,us,left,glasses,47,22,yes,undergrad,female,right,15,21,no,54,"E., M., H., U.",U.,english,english,"english, spanish",70,30,"volleyball, basketball","vb 3, bb 2",no,sing,6,no,yes,6 (no conduce),8,46
AES18,4,aes,us,right,contacts,42,28,yes,phd,male,right,20,24,no,66,"E., M., H., U.",no,english,english,"english, spanish",50,50,ice hockey,17,no,no,no,no,yes,11 (no conduce),9,46
AES19,1,aes,ca,right,contacts,48,27,yes,undergrad,female,right,16,22,French,54,"E., M., H., U.",U.,english,english,"english, spanish, french",50,50,"soccer, running, yoga, volleyball, tennis","sc 15, rn 3, yg 3, vb 3, tn 2",no,sing,5,no,yes,12 (no conduce),10,49
AES20,2,aes,us,right,normal,47,27,yes,master,female,right,18,21,no,72,"E., M., H., U.",U.,"english, french","english, french","english, spanish, catalan, french",50,50,"soccer, basketball","sc 1, bb 2",no,"clarinet, dance","cl 3, dn 10",no,yes,11 (no conduce),10,51
AES21,3,aes,us,right,normal,46,23,yes,undergrad,female,right,13,20,no,45,"E., M., H., U.",U.,english,english,"english, spanish, french",80,20,"soccer, basketball, swimming","sc 8, bb 4, sw 4",no,clarinet,4,no,yes,7 (no conduce),9,48
AES22,4,aes,uk,right,normal,40,20,yes,undergrad,female,right,13,17,no,7,"E., M., H., U.",U.,english,english,"english, spanish, french",80,20,"yoga, basketball, skiing, netol",7-8 (all),no,"piano, violin, sing",8,no,yes,3,10,
AES23,1,aes,uk,left,without glasses,55,21,yes,undergrad,male,right,13,16,French,7,"E., M., H., U.",U.,english,english,"english, spanish, french, catalan",50,50,no,no,no,"piano, violin",10,no,no,no,12,
AES24,2,aes,au,right,glasses,53,32,yes,phd,female,right,19,21,"French, Catalan",108,"E., M., H., U.",U.,english,english,"english, spanish, french, catalan",50,50,"yoga, swimming, footing, football, netball, cirqus","yg 15, sw 3, rn 5, fb 1, nt 2, cq 1",no,no,no,no,yes,15 (no conduce),8,
